IP:PORT, LOSS, DELAY
188.114.96.79:4177,0.00%,104 ms
162.159.192.232:1843,0.00%,104 ms
162.159.192.190:1843,0.00%,106 ms
188.114.99.131:4177,0.00%,107 ms
188.114.98.192:4177,0.00%,108 ms
188.114.96.167:1843,0.00%,108 ms
162.159.192.104:1843,0.00%,108 ms
188.114.99.77:1843,0.00%,108 ms
162.159.192.152:4177,0.00%,109 ms
188.114.96.197:1843,0.00%,109 ms
188.114.96.167:4177,0.00%,109 ms
162.159.195.66:1843,0.00%,109 ms
188.114.99.83:4177,0.00%,109 ms
188.114.97.78:1843,0.00%,109 ms
188.114.98.38:4177,0.00%,110 ms
162.159.192.38:4177,0.00%,110 ms
188.114.99.131:1843,0.00%,110 ms
162.159.192.232:4177,0.00%,110 ms
188.114.99.139:1843,0.00%,110 ms
162.159.192.204:4177,0.00%,111 ms
188.114.97.82:4177,0.00%,111 ms
188.114.96.215:4177,0.00%,111 ms
188.114.96.49:4177,0.00%,112 ms
162.159.192.38:1843,0.00%,112 ms
162.159.195.180:4177,0.00%,112 ms
188.114.97.82:1843,0.00%,113 ms
188.114.99.77:4177,0.00%,113 ms
188.114.98.136:4177,0.00%,113 ms
188.114.97.254:4177,0.00%,114 ms
188.114.99.83:1843,0.00%,114 ms
188.114.99.229:1843,0.00%,114 ms
188.114.99.57:1843,0.00%,114 ms
188.114.97.254:1843,0.00%,115 ms
162.159.195.84:1843,0.00%,115 ms
188.114.98.228:1843,0.00%,115 ms
188.114.99.171:4177,0.00%,115 ms
188.114.99.171:1843,0.00%,115 ms
188.114.99.67:4177,0.00%,115 ms
188.114.99.139:4177,0.00%,115 ms
162.159.195.102:1843,0.00%,116 ms
188.114.97.56:1843,0.00%,116 ms
162.159.195.50:1843,0.00%,116 ms
188.114.96.197:4177,0.00%,116 ms
188.114.99.43:1843,0.00%,116 ms
188.114.99.229:4177,0.00%,116 ms
188.114.99.43:4177,0.00%,117 ms
188.114.98.192:1843,0.00%,117 ms
188.114.99.57:4177,0.00%,117 ms
162.159.195.114:4177,0.00%,117 ms
162.159.195.200:1843,0.00%,117 ms
188.114.99.67:1843,0.00%,117 ms
188.114.96.215:1843,0.00%,118 ms
162.159.192.152:1843,0.00%,118 ms
162.159.195.246:1843,0.00%,118 ms
162.159.192.190:4177,0.00%,118 ms
162.159.195.66:4177,0.00%,119 ms
162.159.195.114:1843,0.00%,119 ms
188.114.98.188:4177,0.00%,121 ms
162.159.195.180:1843,0.00%,121 ms
188.114.96.37:4177,0.00%,140 ms
162.159.192.136:4177,0.00%,140 ms
188.114.96.49:1843,0.00%,143 ms
162.159.192.124:4177,0.00%,144 ms
188.114.96.37:1843,0.00%,144 ms
188.114.98.188:1843,0.00%,145 ms
188.114.97.126:1843,0.00%,145 ms
188.114.99.161:4177,0.00%,146 ms
162.159.192.124:1843,0.00%,146 ms
188.114.97.56:4177,0.00%,147 ms
162.159.195.6:4177,0.00%,148 ms
162.159.195.102:4177,0.00%,148 ms
162.159.195.6:1843,0.00%,150 ms
162.159.195.50:4177,0.00%,150 ms
188.114.98.136:1843,0.00%,150 ms
188.114.98.38:1843,0.00%,150 ms
162.159.192.104:4177,0.00%,154 ms
162.159.192.241:4177,50.00%,555 ms
188.114.98.39:1843,50.00%,556 ms
162.159.192.205:1843,50.00%,557 ms
162.159.192.145:1843,50.00%,557 ms
188.114.99.160:1843,50.00%,557 ms
162.159.192.149:1843,50.00%,557 ms
188.114.96.38:1843,50.00%,557 ms
162.159.195.3:1843,50.00%,557 ms
188.114.99.224:1843,50.00%,558 ms
188.114.98.81:4177,50.00%,558 ms
188.114.98.205:1843,50.00%,559 ms
162.159.192.137:4177,50.00%,559 ms
188.114.98.205:4177,50.00%,559 ms
162.159.192.61:4177,50.00%,559 ms
188.114.97.197:4177,50.00%,559 ms
162.159.195.145:1843,50.00%,559 ms
162.159.195.77:4177,50.00%,559 ms
188.114.96.86:4177,50.00%,559 ms
162.159.192.61:1843,50.00%,559 ms
188.114.97.243:1843,50.00%,559 ms
188.114.97.165:4177,50.00%,559 ms
188.114.97.197:1843,50.00%,559 ms
188.114.98.117:4177,50.00%,560 ms
188.114.97.165:1843,50.00%,560 ms
188.114.97.223:4177,50.00%,560 ms
188.114.97.19:1843,50.00%,560 ms
188.114.99.108:4177,50.00%,560 ms
162.159.195.77:1843,50.00%,560 ms
162.159.195.79:4177,50.00%,560 ms
188.114.97.29:1843,50.00%,560 ms
188.114.97.19:4177,50.00%,560 ms
188.114.98.39:4177,50.00%,560 ms
188.114.96.148:4177,50.00%,561 ms
188.114.99.224:4177,50.00%,561 ms
162.159.192.145:4177,50.00%,561 ms
188.114.97.119:1843,50.00%,561 ms
162.159.192.27:1843,50.00%,562 ms
188.114.96.222:4177,50.00%,562 ms
188.114.96.108:4177,50.00%,564 ms
162.159.192.137:1843,50.00%,566 ms
188.114.97.223:1843,50.00%,573 ms
188.114.99.160:4177,50.00%,573 ms
188.114.96.108:1843,50.00%,574 ms
162.159.195.143:4177,50.00%,574 ms
188.114.98.217:1843,50.00%,575 ms
188.114.98.147:1843,50.00%,575 ms
162.159.195.145:4177,50.00%,575 ms
188.114.98.147:4177,50.00%,576 ms
188.114.96.222:1843,50.00%,576 ms
188.114.98.81:1843,50.00%,576 ms
162.159.195.79:1843,50.00%,576 ms
188.114.97.147:4177,50.00%,576 ms
188.114.97.87:4177,50.00%,576 ms
188.114.97.147:1843,50.00%,576 ms
188.114.99.108:1843,50.00%,576 ms
188.114.98.217:4177,50.00%,577 ms
162.159.192.27:4177,50.00%,577 ms
162.159.195.3:4177,50.00%,577 ms
188.114.97.119:4177,50.00%,577 ms
188.114.96.86:1843,50.00%,577 ms
188.114.98.197:4177,50.00%,578 ms
188.114.97.87:1843,50.00%,578 ms
188.114.98.197:1843,50.00%,593 ms
188.114.98.15:4177,50.00%,613 ms
188.114.98.15:1843,50.00%,633 ms
162.159.193.152:1843,100.00%,1000 ms
188.114.96.193:4177,100.00%,1000 ms
162.159.193.13:1843,100.00%,1000 ms
188.114.96.38:4177,100.00%,1000 ms
162.159.193.126:1843,100.00%,1000 ms
162.159.193.102:4177,100.00%,1000 ms
162.159.193.140:4177,100.00%,1000 ms
162.159.192.136:1843,100.00%,1000 ms
162.159.193.102:1843,100.00%,1000 ms
162.159.192.241:1843,100.00%,1000 ms
162.159.192.149:4177,100.00%,1000 ms
162.159.193.152:4177,100.00%,1000 ms
162.159.193.160:1843,100.00%,1000 ms
162.159.193.140:1843,100.00%,1000 ms
162.159.195.200:4177,100.00%,1000 ms
188.114.96.79:1843,100.00%,1000 ms
162.159.193.126:4177,100.00%,1000 ms
188.114.99.161:1843,100.00%,1000 ms
162.159.193.175:1843,100.00%,1000 ms
162.159.192.205:4177,100.00%,1000 ms
162.159.193.175:4177,100.00%,1000 ms
188.114.96.134:4177,100.00%,1000 ms
162.159.193.160:4177,100.00%,1000 ms
162.159.193.180:1843,100.00%,1000 ms
162.159.192.204:1843,100.00%,1000 ms
